Episode 003 | steps=100 | base= -2.10 | shaped= -0.84 | together= 3.7/step ( 93.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0259 | entropy=2.495 | saved 
Episode 004 | steps=100 | base= -2.10 | shaped= -1.05 | together= 3.6/step ( 91.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0262 | entropy=2.463 | saved 
Episode 005 | steps=100 | base= -2.00 | shaped= -0.76 | together= 3.7/step ( 93.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0271 | entropy=2.465 | saved 
Episode 006 | steps=100 | base= -2.40 | shaped= -1.23 | together= 3.6/step ( 90.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0278 | entropy=2.545 | saved 
Episode 007 | steps=100 | base= -2.20 | shaped= -1.38 | together= 3.6/step ( 89.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0292 | entropy=2.466 | saved 
Episode 008 | steps=100 | base= -2.10 | shaped= -0.02 | together= 3.9/step ( 97.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0191 | entropy=2.471 | saved 
Episode 009 | steps=100 | base= -2.30 | shaped= -0.75 | together= 3.8/step ( 95.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0299 | entropy=2.428 | saved 
Episode 010 | steps=100 | base= -1.90 | shaped= -0.63 | together= 3.6/step ( 90.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0217 | entropy=2.520 | saved 
Episode 011 | steps=100 | base= -3.20 | shaped= -2.41 | together= 3.4/step ( 84.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0356 | entropy=2.609 | saved 
Episode 012 | steps=100 | base= -2.10 | shaped= -0.10 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0256 | entropy=2.442 | saved 
Episode 013 | steps=100 | base= -2.40 | shaped= -0.78 | together= 3.8/step ( 95.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0278 | entropy=2.533 | saved 
Episode 014 | steps=100 | base= -2.10 | shaped= -0.45 | together= 3.9/step ( 98.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0278 | entropy=2.485 | saved 
Episode 015 | steps=100 | base= -2.50 | shaped= -0.78 | together= 3.8/step ( 95.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0267 | entropy=2.542 | saved 
Episode 016 | steps=100 | base= -2.40 | shaped= -1.11 | together= 3.7/step ( 93.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0284 | entropy=2.503 | saved 
Episode 017 | steps=100 | base= -2.00 | shaped= -0.67 | together= 3.8/step ( 94.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0270 | entropy=2.407 | saved 
Episode 018 | steps=100 | base= -2.10 | shaped= -0.50 | together= 3.7/step ( 93.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0192 | entropy=2.496 | saved 
Episode 019 | steps=100 | base= -2.40 | shaped= -0.34 | together= 4.0/step ( 99.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0293 | entropy=2.519 | saved 
Episode 020 | steps=100 | base= -2.20 | shaped= -1.90 | together= 3.3/step ( 83.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0285 | entropy=2.499 | saved




Episode 001 | steps=100 | base= -13.00 | shaped= 1.27 | together= 4.0/step (100.0%) | coal_bonus= 3.36 | coop_attackers= 42 | loss=15.9258 | entropy=0.904 | saved 
Episode 002 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0043 | entropy=0.000 | saved 
Episode 003 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0034 | entropy=0.000 | saved 
Episode 004 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0010 | entropy=0.000 | saved 
Episode 005 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0005 | entropy=0.000 | saved 
Episode 006 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0004 | entropy=0.000 | saved 
Episode 007 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0003 | entropy=0.000 | saved 
Episode 008 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0003 | entropy=0.000 | saved 
Episode 009 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 010 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 011 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 012 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0002 | entropy=0.000 | saved 
Episode 013 | steps=100 | base= -2.00 | shaped= -2.00 | together= 4.0/step (100.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=0.0001 | entropy=0.000 | saved 
